职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
并购投资基金经理,1.2-1.8万·13薪,上海·杨浦区,5年及以上,硕士,君证资产管理（上海）有限公司,金融/投资/证券,民营,少于50人,五险一金,尽职调查;投资;投资银行;投后管理;股权投资;并购投资;尽职调查报告;立项报告;私募股权投资;投资决策,
基金投资事业部总经理,30-60万/年,杭州·滨江区,8年及以上,本科,网新科创产业发展集团有限公司,多元化业务集团公司,民营,150-500人,五险一金;绩效奖金;餐饮补贴;通讯补贴;带薪年假;节日福利,资金募集;基金管理;定期体检,
二级私募基金经理,1.5-2万,武汉·武昌区,8年及以上,本科,武汉市联丰小额贷款股份有限公司,金融/投资/证券,民营,50-150人,五险一金;绩效奖金,基金;私募基金;公募;cpa;港股通;北交所;科创板;深度研究;深度调研;事件驱动;定期体检,
招聘经理/主管,8-15万/年,赣州·章贡区,3年及以上,本科,赣州朱师傅预混饲料事业有限公司,农/林/牧/渔,民营,1000-5000人,绩效奖金;餐饮补贴;节日福利;带薪年假;通讯补贴;交通补贴,年终奖金;专业培训;定期体检;员工旅游;五险,
投行项目经理,1-2万,嘉兴,3年及以上,本科,宁波银行股份有限公司嘉兴分行,金融/投资/证券,已上市,10000人以上,五险一金;绩效奖金;通讯补贴,开户;授信;gp;走访;科技金融;项目推进;定期体检;专业培训;年终奖金,
研究所公募机构销售经理,1.5-2.5万,深圳·福田区,1年及以上,硕士,开源证券股份有限公司,金融/投资/证券,国企,1000-5000人,,公募基金;客户开拓;会务安排;组织策划,
分公司副总经理（业务）,1.5-3万,上海·黄浦区,3年及以上,本科,金融街证券股份有限公司,金融/投资/证券,已上市,1000-5000人,五险一金;餐饮补贴;通讯补贴;补充医疗保险;节日福利;保险,年终奖金;做五休二;企业年金,
基金经理助理/行业研究员,1.5-3万,上海·浦东新区,无需经验,本科,上海深梧资产管理有限公司,金融/投资/证券,民营,少于50人,五险一金;绩效奖金,买方研究员;员工旅游;专业培训;年终奖金;定期体检,
并购投资基金经理助理,1-1.5万·13薪,上海·杨浦区,无需经验,硕士,君证资产管理（上海）有限公司,金融/投资/证券,民营,少于50人,五险一金,尽职调查;投资;投后管理;股权投资;学生干部;并购投资;尽职调查报告;立项报告;投资决策;财务尽调,
理财经理,1.5-3万,惠州·惠城区,3年及以上,本科,兴业银行股份有限公司惠州分行,银行,已上市,150-500人,保险;五险一金,营销;金融;财务管理;咨询;基金;经济;金融行业;资产配置方案;投资,
基金经理,1.5-2.5万,杭州·滨江区,5年及以上,本科,浙江景诚实业有限公司,金融/投资/证券,民营,50-150人,带薪年假;绩效奖金;五险一金,周末双休;定期体检;员工旅游,
业务副总经理（业务副总）,1.2-2.4万,上海·虹口区,3年及以上,本科,金融街证券股份有限公司,金融/投资/证券,已上市,1000-5000人,,,
私募证券投资基金经理,1-1.2万,重庆·渝北区,3-4年,大专,四川巴罗股权投资基金管理有限公司,金融/投资/证券,民营,少于50人,五险一金,,
研究所公募机构销售经理,1.5-2.5万,上海·浦东新区,1年及以上,硕士,开源证券股份有限公司,金融/投资/证券,国企,1000-5000人,,公募基金;客户开拓;会务安排;组织策划,
债券研究员/债券基金经理助理,1-2万,广州·天河区,2年,硕士,前海富石资产管理（深圳）有限公司,金融/投资/证券,民营,少于50人,绩效奖金,数据分析;基金;债券;投资;交易;私募;行业分析;公司研究;信用研究;年终奖金;专业培训;周末双休,
产品经理岗,8千-1万,上海·浦东新区,无需经验,本科,东海证券股份有限公司,金融/投资/证券,国企,1000-5000人,,oracle;数据库;数据分析;编程;金融产品;matlab;投资策略;研究报告;量化;大类资产配置;内部培训;快速发展,
房地产基金经理,2.5-3万,上海·普陀区,3年及以上,本科,上海国鸣投资管理有限公司,金融/投资/证券,民营,少于50人,,上市公司,
研究所公募机构销售经理,1.5-2.5万,北京·西城区,1年及以上,硕士,开源证券股份有限公司,金融/投资/证券,国企,1000-5000人,,公募基金;客户开拓;会务安排;组织策划,
基金经理助理,5千-1万,成都·高新区,1年及以上,本科,成都锦悦恒瑞私募基金有限公司,金融/投资/证券,民营,少于50人,五险一金;带薪年假;绩效奖金;交通补贴,上市公司;专业培训;员工旅游;年终奖金;出国机会;定期体检,
CTA量化基金经理,1.5-3万,杭州·滨江区,3年及以上,本科,浙江景诚实业有限公司,金融/投资/证券,民营,50-150人,,,
